id,lrn,last_name,first_name,name_ext,middle_name,birth_date,gender,elem_sch_completer,efje_gen_ave,efje_citation,efje_elem_sch_name,ejfe_school_id,ejfe_sch_address,efje_pept_passer_rating,efje_alsae_passer_rating,efje_others,efje_date_examass
,105765100007,Aguirre,Raphael,II,A.,4/24/2005,Male,1,89,,,,,,,,mm/dd/yyyy
,106904090009,Angulo,Cedric Bryan,II,M.,08/02/2004,Male,0,98,,,,,,,,
,108340090008,Bueno,Ryan Mart,II,A.,07/01/2004,Male,1,89,,,,,,,,
,105752100029,De Vera,Adrian,II,P.,9/21/2004,Male,1,98,,,,,,,,
,105765100093,Ferrer,Andrei,II,U.,10/07/2004,Male,1,89,,,,,,,,
,105752100046,Francisco,Winston,II,T.,11/26/2004,Male,1,98,,,,,,,,
,105765100196,Ramos,John Jonard,II,C.,5/26/2005,Male,1,89,,,,,,,,
,105764100098,Sevilla,Rainiel,II,N.,10/27/2004,Male,1,98,,,,,,,,
,105765090251,Vitug,Aren Raven,II,M.,7/19/2004,Male,1,89,,,,,,,,
,105760100078,Domingo,Angelica Princess,II,R.,8/23/2005,Female,1,98,,,,,,,,
,105765100082,Ducay,Angelica,II,D.,1/31/2005,Female,1,89,,,,,,,,
,105764100023,Cuaresma,Mistie,II,G.,10/14/2005,Female,1,98,,,,,,,,
,105760060002,Adao,Gian Anthony,II,,1/22/2001,Male,1,89,,,,,,,,
,136610090032,Bunag,Aldrin,II,S.,8/21/2002,Male,1,98,,,,,,,,
,105741130277,Fajardo,Jeb,II,F.,3/29/2005,Male,1,89,,,,,,,,
